Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
LinReg,ratio-diff-signed,5.00,50.00,0.06,0.01,0.06,0.03,-0.67,0.00,0.01,0.03,0.08,0.33,0.72,1.00,-1.00,10.94,0.04,235.54,1.57,0.64,0.00
Ridge-H,ratio-diff-signed,5.00,50.00,0.06,0.01,0.06,0.03,-0.67,0.00,0.01,0.03,0.08,0.33,0.73,1.00,-1.00,10.94,0.04,235.43,1.54,0.64,0.00
Lasso-H,ratio-diff-signed,5.00,50.00,0.06,0.01,0.06,0.03,-0.67,0.00,0.01,0.03,0.08,0.32,0.71,1.00,-1.00,10.96,0.04,235.06,1.51,0.64,0.00
Lasso-H,ratio-diff,5.00,50.00,0.08,0.02,0.12,0.03,0.00,0.00,0.01,0.03,0.09,0.42,0.82,1.00,0.00,10.96,0.04,235.06,1.51,0.64,0.00
LinReg,ratio-diff,5.00,50.00,0.09,0.02,0.11,0.04,0.00,0.00,0.01,0.04,0.09,0.43,0.83,1.00,0.00,10.94,0.04,235.54,1.57,0.64,0.00
Ridge-H,ratio-diff,5.00,50.00,0.09,0.02,0.12,0.04,0.00,0.00,0.01,0.04,0.09,0.43,0.84,1.00,0.00,10.94,0.04,235.43,1.54,0.64,0.00
Knn-H,ratio-diff-signed,5.00,50.00,0.10,0.02,0.07,0.07,-0.83,-0.13,0.02,0.07,0.17,0.52,0.85,1.00,-1.00,18.15,0.11,516.89,4.57,0.21,0.01
RF-H,ratio-diff-signed,5.00,50.00,0.11,0.02,0.08,0.08,-0.84,-0.19,0.03,0.08,0.18,0.54,0.85,1.00,-1.00,13.66,0.10,316.24,4.43,0.52,0.01
SVR-H,ratio-diff-signed,5.00,50.00,0.13,0.03,0.08,0.10,-0.89,-0.47,0.03,0.10,0.24,0.65,0.89,1.00,-1.00,12.47,0.17,272.55,7.00,0.58,0.01
Knn-H,ratio-diff,5.00,50.00,0.16,0.03,0.13,0.08,0.00,0.00,0.03,0.08,0.20,0.66,0.91,1.00,0.00,18.15,0.11,516.89,4.57,0.21,0.01
RF-H,ratio-diff,5.00,50.00,0.17,0.03,0.14,0.09,0.00,0.00,0.04,0.09,0.22,0.67,0.92,1.00,0.00,13.66,0.10,316.24,4.43,0.52,0.01
SVR-H,ratio-diff,5.00,50.00,0.22,0.04,0.14,0.14,0.00,0.01,0.05,0.14,0.32,0.76,0.94,1.00,0.00,12.47,0.17,272.55,7.00,0.58,0.01
SVR-H,ratio-signed,5.00,50.00,0.62,0.08,0.27,0.75,-0.81,-0.32,0.47,0.75,0.89,0.99,1.00,1.00,-1.00,12.47,0.17,272.55,7.00,0.58,0.01
