Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
Knn-H,ratio-diff-signed,5.00,50.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.20,0.74,0.00,0.06,0.01,0.03,0.01,0.87,0.02
Lasso-H,intersection_union_distance,5.00,50.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.04,0.05,0.17,0.00,0.35,0.00,0.17,0.00,0.28,0.00
RF-H,ratio-diff-signed,5.00,50.00,0.02,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.43,0.93,0.00,0.05,0.01,0.03,0.01,0.87,0.03
LinReg,intersection_union_distance,5.00,50.00,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.02,0.05,0.08,0.24,0.00,0.33,0.00,0.16,0.00,0.29,0.00
Ridge-H,intersection_union_distance,5.00,50.00,0.02,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.02,0.04,0.07,0.24,0.00,0.34,0.00,0.16,0.00,0.29,0.00
Lasso-H,ratio-diff-signed,5.00,50.00,0.03,0.01,0.04,0.02,0.00,0.00,0.01,0.02,0.04,0.13,0.38,0.99,-0.99,0.35,0.00,0.17,0.00,0.28,0.00
Lasso-H,ratio-diff,5.00,50.00,0.04,0.01,0.07,0.02,0.00,0.00,0.01,0.02,0.04,0.15,0.52,0.99,0.00,0.35,0.00,0.17,0.00,0.28,0.00
LinReg,ratio-diff-signed,5.00,50.00,0.05,0.01,0.05,0.02,-0.22,0.00,0.01,0.02,0.05,0.22,0.54,1.00,-1.00,0.33,0.00,0.16,0.00,0.29,0.00
Ridge-H,ratio-diff,5.00,50.00,0.05,0.01,0.08,0.02,0.00,0.00,0.01,0.02,0.05,0.21,0.59,1.00,0.00,0.34,0.00,0.16,0.00,0.29,0.00
Ridge-H,ratio-diff-signed,5.00,50.00,0.05,0.01,0.05,0.02,-0.08,0.00,0.01,0.02,0.05,0.19,0.47,1.00,-1.00,0.34,0.00,0.16,0.00,0.29,0.00
RF-H,intersection_union_distance,5.00,50.00,0.06,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.86,1.00,0.00,0.05,0.01,0.03,0.01,0.87,0.03
Knn-H,intersection_union_distance,5.00,50.00,0.06,0.01,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.87,1.00,0.00,0.06,0.01,0.03,0.01,0.87,0.02
LinReg,ratio-diff,5.00,50.00,0.06,0.02,0.09,0.02,0.00,0.00,0.01,0.02,0.06,0.25,0.69,1.00,0.00,0.33,0.00,0.16,0.00,0.29,0.00
SVR-H,intersection_union_distance,5.00,50.00,0.08,0.02,0.05,0.05,0.00,0.00,0.01,0.05,0.11,0.27,0.51,1.37,0.00,0.25,0.00,0.11,0.01,0.54,0.03
SVR-H,ratio-diff-signed,5.00,50.00,0.12,0.03,0.08,0.08,-0.89,-0.41,0.00,0.08,0.24,0.64,0.90,1.00,-1.00,0.25,0.00,0.11,0.01,0.54,0.03
Knn-H,ratio-diff,5.00,50.00,0.14,0.03,0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.06,0.01,0.03,0.01,0.87,0.02
RF-H,ratio-diff,5.00,50.00,0.18,0.04,0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.05,0.01,0.03,0.01,0.87,0.03
SVR-H,ratio-diff,5.00,50.00,0.20,0.04,0.13,0.12,0.00,0.00,0.02,0.12,0.31,0.75,0.95,1.00,0.00,0.25,0.00,0.11,0.01,0.54,0.03
RF-H,intersection_union_all,5.00,50.00,0.30,NA,0.13,0.28,0.18,0.21,0.25,0.28,0.32,0.40,1.00,1.00,0.17,0.05,0.01,0.03,0.01,0.87,0.03
Knn-H,intersection_union_all,5.00,50.00,0.32,NA,0.12,0.30,0.21,0.23,0.27,0.30,0.34,0.41,1.00,1.00,0.19,0.06,0.01,0.03,0.01,0.87,0.02
SVR-H,ratio-signed,5.00,50.00,0.64,0.07,0.27,0.78,-0.83,-0.30,0.48,0.78,0.96,1.00,1.00,1.00,-1.00,0.25,0.00,0.11,0.01,0.54,0.03
SVR-H,intersection_union_sample,5.00,50.00,0.67,0.06,0.21,0.78,0.00,0.00,0.48,0.78,0.96,1.00,1.00,1.00,0.00,0.25,0.00,0.11,0.01,0.54,0.03
SVR-H,ratio,5.00,50.00,0.71,0.05,0.16,0.79,0.03,0.14,0.53,0.79,0.96,1.00,1.00,1.00,0.00,0.25,0.00,0.11,0.01,0.54,0.03
SVR-H,intersection_union_all,5.00,50.00,0.72,NA,0.05,0.71,0.65,0.67,0.70,0.71,0.73,0.76,1.00,1.00,0.64,0.25,0.00,0.11,0.01,0.54,0.03
RF-H,ratio,5.00,50.00,0.82,0.04,0.15,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.05,0.01,0.03,0.01,0.87,0.03
RF-H,ratio-signed,5.00,50.00,0.82,0.04,0.15,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.05,0.01,0.03,0.01,0.87,0.03
RF-H,intersection_union_sample,5.00,50.00,0.82,0.04,0.15,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.05,0.01,0.03,0.01,0.87,0.03
Knn-H,intersection_union_sample,5.00,50.00,0.85,0.03,0.14,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.06,0.01,0.03,0.01,0.87,0.02
Knn-H,ratio,5.00,50.00,0.86,0.03,0.14,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.06,0.01,0.03,0.01,0.87,0.02
Knn-H,ratio-signed,5.00,50.00,0.86,0.03,0.14,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.06,0.01,0.03,0.01,0.87,0.02
LinReg,ratio-signed,5.00,50.00,0.89,0.03,0.16,0.95,-0.10,0.58,0.89,0.95,0.98,1.00,1.00,1.00,-1.00,0.33,0.00,0.16,0.00,0.29,0.00
LinReg,ratio,5.00,50.00,0.90,0.02,0.11,0.95,0.19,0.60,0.89,0.95,0.98,1.00,1.00,1.00,0.00,0.33,0.00,0.16,0.00,0.29,0.00
LinReg,intersection_union_sample,5.00,50.00,0.90,0.03,0.13,0.95,0.00,0.58,0.89,0.95,0.98,1.00,1.00,1.00,0.00,0.33,0.00,0.16,0.00,0.29,0.00
Ridge-H,ratio-signed,5.00,50.00,0.90,0.03,0.14,0.96,-0.04,0.63,0.91,0.96,0.98,1.00,1.00,1.00,-1.00,0.34,0.00,0.16,0.00,0.29,0.00
Ridge-H,ratio,5.00,50.00,0.91,0.02,0.10,0.96,0.26,0.65,0.91,0.96,0.98,1.00,1.00,1.00,0.00,0.34,0.00,0.16,0.00,0.29,0.00
Ridge-H,intersection_union_sample,5.00,50.00,0.91,0.02,0.12,0.96,0.00,0.63,0.91,0.96,0.98,1.00,1.00,1.00,0.00,0.34,0.00,0.16,0.00,0.29,0.00
Lasso-H,ratio-signed,5.00,50.00,0.92,0.02,0.14,0.96,0.05,0.74,0.93,0.96,0.99,1.00,1.00,1.00,-1.00,0.35,0.00,0.17,0.00,0.28,0.00
Lasso-H,ratio,5.00,50.00,0.93,0.02,0.09,0.96,0.32,0.74,0.93,0.96,0.99,1.00,1.00,1.00,0.01,0.35,0.00,0.17,0.00,0.28,0.00
Lasso-H,intersection_union_sample,5.00,50.00,0.93,0.02,0.11,0.96,0.05,0.74,0.93,0.96,0.99,1.00,1.00,1.00,0.00,0.35,0.00,0.17,0.00,0.28,0.00
LinReg,intersection_union_all,5.00,50.00,0.95,NA,0.02,0.95,0.92,0.93,0.94,0.95,0.96,0.97,1.00,1.00,0.90,0.33,0.00,0.16,0.00,0.29,0.00
Ridge-H,intersection_union_all,5.00,50.00,0.95,NA,0.01,0.95,0.92,0.93,0.95,0.95,0.96,0.97,1.00,1.00,0.92,0.34,0.00,0.16,0.00,0.29,0.00
Lasso-H,intersection_union_all,5.00,50.00,0.96,NA,0.01,0.96,0.93,0.94,0.95,0.96,0.97,0.98,1.00,1.00,0.93,0.35,0.00,0.17,0.00,0.28,0.00
