Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
SVR-H,intersection_union_distance,5.00,50.00,0.04,0.01,0.02,0.03,0.00,0.00,0.01,0.03,0.05,0.10,0.16,0.54,0.00,0.51,0.00,0.39,0.00,0.40,0.01
SVR-H,ratio-diff-signed,5.00,50.00,0.07,0.02,0.06,0.03,-0.33,0.00,0.01,0.03,0.07,0.27,0.60,0.99,-0.99,0.51,0.00,0.39,0.00,0.40,0.01
SVR-H,ratio-diff,5.00,50.00,0.08,0.02,0.09,0.03,0.00,0.00,0.01,0.03,0.07,0.31,0.71,0.99,0.00,0.51,0.00,0.39,0.00,0.40,0.01
SVR-H,ratio-signed,5.00,50.00,0.86,0.04,0.16,0.94,-0.19,0.50,0.86,0.94,0.98,1.00,1.00,1.00,-1.00,0.51,0.00,0.39,0.00,0.40,0.01
SVR-H,ratio,5.00,50.00,0.87,0.03,0.12,0.94,0.17,0.53,0.86,0.94,0.98,1.00,1.00,1.00,0.00,0.51,0.00,0.39,0.00,0.40,0.01
SVR-H,intersection_union_sample,5.00,50.00,0.88,0.03,0.14,0.94,0.00,0.50,0.86,0.94,0.98,1.00,1.00,1.00,0.00,0.51,0.00,0.39,0.00,0.40,0.01
SVR-H,intersection_union_all,5.00,50.00,0.93,NA,0.02,0.93,0.88,0.90,0.92,0.93,0.94,0.96,1.00,1.00,0.86,0.51,0.00,0.39,0.00,0.40,0.01
Ridge-H,intersection_union_distance,5.00,50.00,0.03,0.01,0.01,0.02,0.00,0.00,0.01,0.02,0.04,0.09,0.14,0.45,0.00,0.51,0.00,0.39,0.00,0.40,0.00
Ridge-H,ratio-diff-signed,5.00,50.00,0.06,0.02,0.06,0.03,-0.38,0.00,0.01,0.03,0.06,0.26,0.63,1.00,-1.00,0.51,0.00,0.39,0.00,0.40,0.00
Ridge-H,ratio-diff,5.00,50.00,0.08,0.02,0.10,0.03,0.00,0.00,0.01,0.03,0.07,0.31,0.75,1.00,0.00,0.51,0.00,0.39,0.00,0.40,0.00
Ridge-H,ratio-signed,5.00,50.00,0.86,0.03,0.18,0.95,-0.25,0.49,0.87,0.95,0.98,1.00,1.00,1.00,-1.00,0.51,0.00,0.39,0.00,0.40,0.00
Ridge-H,ratio,5.00,50.00,0.88,0.03,0.13,0.95,0.14,0.53,0.87,0.95,0.98,1.00,1.00,1.00,0.00,0.51,0.00,0.39,0.00,0.40,0.00
Ridge-H,intersection_union_sample,5.00,50.00,0.88,0.03,0.15,0.95,0.00,0.49,0.87,0.95,0.98,1.00,1.00,1.00,0.00,0.51,0.00,0.39,0.00,0.40,0.00
Ridge-H,intersection_union_all,5.00,50.00,0.94,NA,0.02,0.94,0.90,0.91,0.93,0.94,0.95,0.97,1.00,1.00,0.88,0.51,0.00,0.39,0.00,0.40,0.00
RF-H,intersection_union_distance,5.00,50.00,0.10,0.02,0.04,0.07,0.00,0.00,0.03,0.07,0.13,0.29,0.49,1.27,0.00,0.45,0.00,0.33,0.01,0.50,0.01
RF-H,ratio-diff-signed,5.00,50.00,0.13,0.03,0.08,0.09,-0.70,0.00,0.03,0.09,0.20,0.52,0.80,0.99,-0.99,0.45,0.00,0.33,0.01,0.50,0.01
RF-H,ratio-diff,5.00,50.00,0.17,0.03,0.12,0.10,0.00,0.00,0.04,0.10,0.23,0.61,0.91,1.00,0.00,0.45,0.00,0.33,0.01,0.50,0.01
RF-H,ratio-signed,5.00,50.00,0.71,0.05,0.21,0.82,-0.57,0.10,0.61,0.82,0.93,0.99,1.00,1.00,-1.00,0.45,0.00,0.33,0.01,0.50,0.01
RF-H,intersection_union_sample,5.00,50.00,0.73,0.05,0.17,0.82,0.00,0.10,0.61,0.82,0.93,0.99,1.00,1.00,0.00,0.45,0.00,0.33,0.01,0.50,0.01
RF-H,ratio,5.00,50.00,0.74,0.04,0.14,0.82,0.04,0.24,0.63,0.82,0.93,0.99,1.00,1.00,0.00,0.45,0.00,0.33,0.01,0.50,0.01
RF-H,intersection_union_all,5.00,50.00,0.81,NA,0.04,0.80,0.77,0.78,0.79,0.80,0.81,0.83,1.00,1.00,0.76,0.45,0.00,0.33,0.01,0.50,0.01
LinReg,intersection_union_distance,5.00,50.00,0.03,0.01,0.02,0.03,0.00,0.00,0.01,0.03,0.05,0.09,0.15,0.50,0.00,0.50,0.00,0.39,0.00,0.40,0.01
LinReg,ratio-diff-signed,5.00,50.00,0.06,0.02,0.05,0.03,-0.57,0.00,0.01,0.03,0.07,0.28,0.65,1.00,-1.00,0.50,0.00,0.39,0.00,0.40,0.01
LinReg,ratio-diff,5.00,50.00,0.08,0.02,0.10,0.03,0.00,0.00,0.01,0.03,0.07,0.35,0.78,1.00,0.00,0.50,0.00,0.39,0.00,0.40,0.01
LinReg,ratio-signed,5.00,50.00,0.86,0.03,0.18,0.94,-0.30,0.43,0.86,0.94,0.98,1.00,1.00,1.00,-1.00,0.50,0.00,0.39,0.00,0.40,0.01
LinReg,ratio,5.00,50.00,0.87,0.03,0.13,0.94,0.12,0.48,0.86,0.94,0.98,1.00,1.00,1.00,0.00,0.50,0.00,0.39,0.00,0.40,0.01
LinReg,intersection_union_sample,5.00,50.00,0.87,0.03,0.16,0.94,0.00,0.43,0.86,0.94,0.98,1.00,1.00,1.00,0.00,0.50,0.00,0.39,0.00,0.40,0.01
LinReg,intersection_union_all,5.00,50.00,0.93,NA,0.02,0.93,0.89,0.90,0.92,0.93,0.95,0.96,1.00,1.00,0.88,0.50,0.00,0.39,0.00,0.40,0.01
Lasso-H,ratio-diff,5.00,50.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.06,0.00,0.69,0.00,0.66,0.00,-0.01,0.00
Lasso-H,ratio-diff-signed,5.00,50.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.06,0.00,0.69,0.00,0.66,0.00,-0.01,0.00
Lasso-H,intersection_union_distance,5.00,50.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.05,0.00,0.69,0.00,0.66,0.00,-0.01,0.00
